judul,waktu,isi
Samsat Sukadana Bebaskan Dena PKB dan BBNKB,"Senin 06-04-2020,16:25 WIB","
                                                                                        
                                                                             
 radarlampung.co.id - Masyarakat Lampung Timut yang berniat membayar pajak kendaraan  bermotor (PKB) di Kantor Satuan Administrasi  Bersama Satu Atap (Samsat) Sukadana tidak perlu khawatir terkena denda. Selain denda PKB,  Samsat juga membebaskan denda bea balim nama kendaraan bermotor (BB NKB).
 

 
 Pasalnya, mulai 6 April hingga 29 Mei 2020 Badan Pendapatan Daerah Provinisi Lampung membebaskan biaya denda PKB dan BBNKB. 
 

 
 Kepala UPTD Samsat Sukadana Badaruddin menjelaskan, pembebasan baiaya denda keterlambatan pembayaram PKB itu merupakan kebijakan yang diambil dalam rangka mencegah penyebaran corona virus disease (Covid)-19. 
 

 
 Menurutnya, kebijakan itu merupakan tindak lanjut  Peraturan Gubernur (Pergub) Lampung No.18 Tahun 2020 yang berlaku untuk pembebasan denda PKB dan BBNKB. \""Hanya denda saja yang dibebaskan, untuk  biasa PKB dan BBNKB tetap,\"" jelasnya.
 

 
 Ditambahkan, guna mencegah penyebaran covid-19, Samsat Sukadana juga telah melakukan berbagai upaya. Antara lain, melalui penyemprotan disinfektan, menjaga jarak, menyediakan tempat cuci tangan dan hand sanitizer serta mengurangi jam pelayanan. (wid/ang)
 Cek Berita dan Artikel yang lain di  
                                "
"Curi Komputer Sekolah, Dua Remaja Diamankan","Selasa 07-04-2020,08:23 WIB","
                                                                                        
                                                                             
 radarlampung.co.id - Masa liburan sekolah dalam rangka pencegahan penyebaran corona virus disease (covid)-19 dimanfaatkan para pelaku kejahatan beraksi. 
 

 
 Sebagaiamana dilakukan AR (18) dan ZH (13) warga Kecamatan Gunungpelindung Lampung Timur. Ke duanya memamfaatkan situasi yang sedang sepi untuk mencuri satu set komputer di 
 

 
 SMA Muhammadiyah Desa Pelindungjaya Kecamatan Gunungpelindung, 28 Maret 2020 lalu.
 

 
 Modusnya, ke dua pelaku memanjat dinding pagar sekolah itu yang sedang kosong. Kemudian masuk ke ruang guru melalui ventilasi jendela. Setelah itu, membawa kabur 1 unit komputer berikut monitor dan keyboard serta router.
 

 
 Kapolres Lamtim AKBP Wawan Setiwan melalui Kapolsek Gunungpelindung Iptu Nelson Siahaan menjelaskan, berdasarkan laporan pihak sekolah dan hasil penyelidikan, ke dua pelaku berhasil diamankan, Senin (6/4). Berikut ke dua tersangka turut diamankan barang bukti berupa 1 komputer. 
 

 
 Ditambahkan, tersangka AR dan barang bukti diamankan di Polsek Gunung Pelindung guna pengembangan penyidikan lebih lanjut. Sementara, tersangka ZH tidak ditahan karena masih di bawah umur. Namun, penyidikan terhadap ZH tetap dilanjutkan. (wid/ang)
 Cek Berita dan Artikel yang lain di  
                                "
"Peduli Pencegahan Covid-19, Polres Lamtim Bagikan Masker kepada Masyarakat","Selasa 07-04-2020,10:53 WIB","
                                                                                        
                                                                             
 radarlampung.co.id - Dalam rangka mendukung upaya pencegahan penyebaran corona virus disease (Covid)-19. Polres Lampung Timur menggelar berbagai kegiatan di Kecamatan Pekalongan, Selasa (7/4).
 

 
 Antara lain, pembagian masker, kepada pengendaran yang melintas di jalan raya  penyemprotan desinfektan dan sosialisasi pencegahan covid-19.
 

 
 Kegiatan yang dipimpin Kapolres Lamtim AKBP Wawan Setiawan itu dihadiri juga Kepala Dinas Kesehatan dr.Nanang Salman Saleh.
 

 
 \""Sesuai himbauan dari pemerintah untuk mencegah penyebaran covid-19 maka masyarakat wajib menggunakan masker saat berada di luar rumah,\""jelas AKBP Wawan Setiawan. 
 

 
 Diharapkan melalui kegiatan itu diharapkan masyarakat dapat menyadari untuk menggunakan masker setiap beraktivitas di luar rumah.  
 

 
 Ditambahkan, kegiatan itu juga merupakan rangkaian pelaksanaan operasi keselamatan Krakatau 2020 yang akan dilaksanakan hingga 19 April 2020 mendatang. (wid/ang)
 Cek Berita dan Artikel yang lain di  
                                "
Sekretaris Kabupaten Lamtim Kembali Ingatkan Disiplin ASN,"Senin 17-09-2018,17:52 WIB","
                                                                                        
                                                                             Radarlampung.co.id - Sekertaris Kabupaten Lampung Timur Syahrudin kembali mengingatkan seluruh aparatur sipil negara (ASN) tentang kedisiplinan dan kinerja. Itu disampaikan Syahrudin saat memimpin apel bulan Korpri di lapangan upacara Sekretariat Kabupaten Lampung Timur, Senin (17/9). “Tidak akan pernah ada keberhasilan hakiki tanpa didasari oleh kedisiplinan. Yakinlah, disiplin itu pada akhirnya kembali ke diri sendiri,” tegas Syahrudin. Karenanya, Syahrudin juga berharap agar para ASN tidak menganggap remeh kedisiplinan dalam melaksanakan tugasnya sebagai abdi negara dan pelayan masyarakat. “Mari sebarkan virus kebaikan agar menjadi inspirasi dan motivasi bagi sesama ASN untuk dapat melaksanakan tugas pokok dan fungsi yang didasari dan dilandasi oleh rasa disiplin yang tinggi,” imbuh Syahrudin Putera. Sebelum menutup arahannya, Syahrudin Putera yang juga secara ex officio (tindakan yang dilakukan sehubungan dengan jabatan yang disandang) merupakan Ketua KORPRI Lampung TImur mengharapkan agar KORPRI Kabupaten Lampung Timur dapat senantiasa meningkatkan perannya dan tidak hanya terbatas pada pragmatisme tugas pokok semata. (adv) Cek Berita dan Artikel yang lain di  
                                "
Bupati Lamtim Sampaikan Rancangan Perubahan APBD 2018,"Senin 17-09-2018,20:49 WIB","
                                                                                        
                                                                             Radarlampung.co.id - Kabupaten Lampung Timur memproyeksikan pendapatan setelah perubahan mencapai Rp2,107 triliun atau meningkat 1,26 persen dibanding APBD murni. Sedangkan, anggaran belanja diproyeksikan mencapai Rp2,208 triliun atau meningkat 3,64 persen dibanding APBD murni. Demikian diungkapkan Bupati Lampung Timur Chusnunia saat menyamapaikan nota pengantar rancangan perubahan APBD 2018 melalui rapat paripurna yang dipimpin Ketua DPRD Ali Johan Arif, Senin (17/9). Chusnunia menjelaskan, pendapatan daerah itu bersumber dari Pendapatan Asli Daerah (PAD) sebesar Rp132,489 miliar, dana perimbangan Rp1,497 triliun dan lain-lain pendapatan yang syah Rp477 miliar. Sedangkan, alokasi belanja rencananya untuk belanja tidak langsung Rp1,362 miliar atau naik 0,86 persen sebelum perubahan. Kemudian, untuk belanja langsung Rp846,283 miliar atau naik 8,44 persen dibanding sebelum perubahan. Penyampaian nota pengantar rancangan perubahan APBD 2018 itu dilaksanakan usai penandatangan kesepakatan kebijakan umum perubahan anggaran (KUPA) dan Prioritas Plafon Anggaran Sementara (PPAS) perubahan APBD 2018. (adv) Cek Berita dan Artikel yang lain di  
                                "
"Buka Festival Germas, Wabup Lamtim Ajak Berpola Hidup Sehat","Rabu 19-09-2018,18:58 WIB","
                                                                                        
                                                                             Radarlampung.co.id - Kabupaten Lampung Timur (Lamtim) menggelar Festival Germas (Gerakan Masyarakat Hidup Sehat) di Lapangan Desa Brawijaya Kecamatan Sekampungudik, Rabu (19/9). Festival dibuka langsung oleh Wakil Bupati Lamtim Zaeful Bokhari, Rabu (19/9) Saat membuka acara itu, Zaeful mengungkapkan, peningkatan derajat kesehatan masyarakat tidak hanya menjadi tanggung jawab pemerintah. Namun, perlu partisipasi nyata dari masyarakat. Germas diperlukan agar masyarakat secara sadar menggiatkan diri dengan perilaku hidup bersih dan sehat. “Kami mengajak semua lapisan  masyarakat agar tetap membiasakan dengan pola hidup sehat, semoga saudara-saudara saya yang ada di Lampung Timur semakin sehat dan sejahtera,\"" kata Zaeful. Selain senam bersama, festival itu juga digelar kegiatan cuci tangan pakai sabun dan makan buah bersama. Hadir dalam acara, Ketua TP PKK Lamtim Putri Ernawati Zaiful Bokhari, Kepala Inspektorat Lamtim Nurdin Syifrizal, Staf Ahli Bupati Bidang Kemasyarakatan dan Sumberdaya Manusia Nur Syamsu, Staf Ahli Bidang Ekonomi Keuangan dan Pembangunan David Arisandy. Selain itu, Kepala Dinas Sosial Lamtim M.Yunus, Plt. Kepala Dinas Kesehata Lamtim Syamsu Rijal, Kepala Bagian Perekonomian Setdakab Lamtim Mart Aziz, Camat Sekampung Udik Rahim, serta Kepala Desa Brawijaya Nyoman Sariase. (adv) Cek Berita dan Artikel yang lain di  
                                "
"Buka Festival Germas, Wabup Lamtim Ajak Berpola Hidup Sehat","Rabu 19-09-2018,18:58 WIB","
                                                                                        
                                                                             Radarlampung.co.id - Kabupaten Lampung Timur (Lamtim) menggelar Festival Germas (Gerakan Masyarakat Hidup Sehat) di Lapangan Desa Brawijaya Kecamatan Sekampungudik, Rabu (19/9). Festival dibuka langsung oleh Wakil Bupati Lamtim Zaeful Bokhari, Rabu (19/9) Saat membuka acara itu, Zaeful mengungkapkan, peningkatan derajat kesehatan masyarakat tidak hanya menjadi tanggung jawab pemerintah. Namun, perlu partisipasi nyata dari masyarakat. Germas diperlukan agar masyarakat secara sadar menggiatkan diri dengan perilaku hidup bersih dan sehat. “Kami mengajak semua lapisan  masyarakat agar tetap membiasakan dengan pola hidup sehat, semoga saudara-saudara saya yang ada di Lampung Timur semakin sehat dan sejahtera,\"" kata Zaeful. Selain senam bersama, festival itu juga digelar kegiatan cuci tangan pakai sabun dan makan buah bersama. Hadir dalam acara, Ketua TP PKK Lamtim Putri Ernawati Zaiful Bokhari, Kepala Inspektorat Lamtim Nurdin Syifrizal, Staf Ahli Bupati Bidang Kemasyarakatan dan Sumberdaya Manusia Nur Syamsu, Staf Ahli Bidang Ekonomi Keuangan dan Pembangunan David Arisandy. Selain itu, Kepala Dinas Sosial Lamtim M.Yunus, Plt. Kepala Dinas Kesehata Lamtim Syamsu Rijal, Kepala Bagian Perekonomian Setdakab Lamtim Mart Aziz, Camat Sekampung Udik Rahim, serta Kepala Desa Brawijaya Nyoman Sariase. (adv) Cek Berita dan Artikel yang lain di  
                                "
Meriah! Bupati Lampung Timur Buka Festival Tangkap Ikan,"Kamis 20-09-2018,19:08 WIB","
                                                                                        
                                                                             Radarlampung.co.id - Kabupaten Lampung Timur menggelar Festival Tangkap Ikan di Desa Tanjungkusuma Kecamatan Purbolinggo, Kamis (20/9) berlangsung meriah dengan menabur ikan. Rangkaian kegiatan yang masuk dalam kalender wisata Kabupaten Lampung Timur tahun 2018 ini diawali dengan penaburan 40 kg ikan nila ke dalam Embung Tirta Kusuma oleh Bupati Lampung Timu, Chusnunia Chalim. Setelah penebaran ikan, warga langsung menceburkan diri ke dalam embung dan berebut menangkap ikan. Bagi peserta yang berhasil mendapatkan ikan pertama kali, berhak mendapatkan hadiah doorpize berupa uang tunai yang diberikan langsung oleh Chusnunia. Sedangkan, peserta yang berhasil mendapatkan ikan terbanyak akan mendapatkan doorprize yang telah disediakan oleh panitia. Festival itu dimeriahkan juga dengan lomba tumpeng, serta lomba memancing. Selain itu pada acara itu Chusnunia juga berkesempatan membakar ikan hasil tangkapan bersama warga. Hadir pula dalam acara, Staf Ahli Bidang Ekonomi Keuangan dan Pembangunan David Arisandy, Sekretaris Dinas Pariwisata. Estuning Wariani, serta Forkopimcam Purbolinggo. “Saya bangga menjadi Bupati Lampung Timur karena memiliki tim yang kompak dan memiliki warga yang luar biasa mau bergotong royong. Inilah yang menjadi keistimewaan Lampung Timur sangat-sangat kompak semoga dengan begitu kita bisa membangun Lampung Timur menjadi lebih baik lagi,” jelas Chusnunia. (adv) Cek Berita dan Artikel yang lain di  
                                "
Wabub Lamtim Buka Festival Gemar Ikan,"Rabu 10-10-2018,14:20 WIB","
                                                                                        
                                                                             Radarlampung.co.id - Pemerintah Kabupaten Lampung Timur menggelar Festival Gemar Makan Ikan, Rabu (10/10). Acara yang digelar di Gedung Pusiban Sukadana itu dibuka Wakil Bupati Lampung Timur Zaeful Bokhari. Menurut Zaeful, Lamtim memiliki sumber daya perikanan yang melimpah, baik ikan laut maupun tawar. \""Kegiatan ini merupakan salah satu upaya untuk meningkatkan konsumsi ikan,\""jelas Zaeful dalam acara yang juga dihadiri Ketua Tim Penggerak PKK Putri Ernawati dan para kepala satuan kerja. Kesempatan yang sama Kepala Dinas Perikanan dan Peternakan Lamtim Hanafi menjelaskan, festival itu dibagi dalam 2 katagori. Pertama, lomba masak ikan dengan peserta Tim Penggerak PKK 24 kecamatan. Ke dua lomba inovasi masakan serba ikan dengan peserta pelajar SMK. (adv/ang) Cek Berita dan Artikel yang lain di  
                                "
Sekab Lampung Timur Lepas Bantuan bagi Korban Gempa dan Tsunami Sulawesi Tengah,"Kamis 11-10-2018,20:11 WIB","
                                                                                        
                                                                             Radarlampung.co.id - Pemerintah Kabupaten Lampunag Timur memberangakatkan bantuan logistik bagi korban bencana gempa dan tsunami Palu, Sigi, Donggala Sulawesi Tengah, Kamis (11/10). Bantuan yang disalurkan terdiri dari roti sebanyak 27 kotak, aneka peyek 5 kotak, oreg-oreg tempe 5 kotak, aneka kerupuk 2 kotak, sambel pecel 1 kotak, abon 1 kotak, serta pempers sebanyak 1 kotak. Sekretaris Kabupaten Lampung Timur Syahrudin Putera saat melepas penyaluran bantuan tersebut mengungkapkan, bantuan kemanusiaan ini berasal dari seluruh elemen masyarakat yang ada di Kabupaten Lampung Timur. “Bantuan ini tentunya tidak seberapa, tetapi ini merupakan wujud nyata dari rasa kepedulian, rasa kebersamaan, rasa empati kami khususnya Pemerintah Kabupaten Lampung Timur dan masyarakat Lampung secara keseluruhan,” jelas Syahrudin. Turut hadir dalam kegiatan itu Asisten Bidang Perekonomian dan Pembangunan, Junaidi, Kepala Dinas Sosial Kabupaten Lampung Timur, M.Yunus, serta Kepala Pelaksana Badan Penanggulangan Bencana Daerah (BPBD), Tri Pranoto. (adv) Cek Berita dan Artikel yang lain di  
                                "
"Terkenal Berkualitas, Lampung Timur Gelar Festival Seribu Tungku","Minggu 14-10-2018,19:34 WIB","
                                                                                        
                                                                             Radarlampung.co.id - Bupati Lampung Timur Chusnunia Chalim membuka Festival 1.000 Tungku di Desa Brajaluhur Kecamatan Brajaselebah, Minggu (14/10). Acara yang bersamaan dengan peringatan hari ulang tahun Desa Brajaluhur ke-57 itu merupakan salah satu kegiatan yang masuk dalam kalender wisata Kabupaten Lampung Timur tahun 2018 ini. “Selain untuk mempromosikan wisata lokal, kegiatan ini juga untuk memberdayakan ekonomi masyarakat,” jelas Chusnunia didampingi Kepala Dinas Pemuda dan Olahraga Merah Juansyah, Sekretaris Dinas Pariwisata Estuning Wariani, Camat Brajaselebah Cen Suatman serta Kepala Desa Brajaluhur Supratikno. Lebih lanjut Chusnunia menjelaskan, Desa Brajaluhur merupakan salah satu penghasil tungku di Kabupaten Lampung Timur. Bahkan, hasil karya warga Desa Brajaluhur terkenal berkualitas dan telah menyebar ke luar daerah. “Kami akan mengupayakan agar tungku asal Desa Brajaluhur mendapat hak paten,” lanjut Chusnunia. Kesempatan yang sama Kepala Desa Brajaluhur Supratikno mengatakan, tungku asal desanya telah tersebar di seluruh Indonesia dan berhasil menyaingi tabung gas elpiji. Selain Indonesia, tungku-tungku asal Desa Brajaluhur ini juga telah berhasil menembus pasar luar negeri seperti Brunei Darussalam, Malaysia bahkan Kanada. (adv) Cek Berita dan Artikel yang lain di  
                                "
Wabub Lamtim Tutup BBRGM dan Hari Kesrak PKK,"Selasa 16-10-2018,17:00 WIB","
                                                                                        
                                                                             Radarlampung.co.id - Pemerintah Kabupaten Lampung Timur (Lamtim) akan terus mendukung kegiatan dalam rangka membangkitkan perekonomian masyarakat yang ada di setiap desa dan kecamatan. Hal itu diungkapkan Wakil Bupati Lamtim, Zaeful Bokhari saat menutup Bhulan Bhakti Gotong Royong Masyarakat (BBRGM) ke XV dan Peringatan Hari Kesatuan Gerak (HKG) PKK ke 46, Selasa (16/10). “Dari tahun ke tahun banyak sekali peningkatan kegiatan dalam rangka membangkitkan perekonomian masyarakat di seluruh desa dan kecamatan. Pemkab akan terus mendukung kegiatan tersebut,” jelas Zaeful Bokhari dalam acara yang dipusatkan di Desa Wayareng Kecamatan Matarambaru itu. Pada acara itu juga digelar pameran produk-produk unggulan dari seluruh desa dan penanaman pohon oleh Wakil Bupati Lamtim. Kemudian, penghargaan kepada Desa Labuhan Ratu Baru Kecamatan Way Jepara yang masuk dalam 100 desa terbaik pengelolaan Dana Desa Tahun Anggaran 2016 se-Indonesia dari Kementrian Desa Pembangunan Daerah Tertinggal dan Transmigrasi RI. Selanjutnya, pemberian hadiah pelaksana terbaik BBRGM ingkat Kabupaten Lamtim Tahun 2018, yang dimenangkan oleh Desa Adirejo Kecamatan Pekalongan. Sedangkan, juara dua diraih Desa Waymili Kecamatan Gunung Pelindung dan juara tiga Desa Wayareng Kecamatan Matarambaru. Untuk lomba desa, juara pertama diraih Desa Surya Mataram Kecamatan Marga Tiga, juara dua Desa Pematang Tahalo Kecamatan Jabung dan juara tiga Desa wayareng Kecamatan Matarambaru. (adv) Cek Berita dan Artikel yang lain di  
                                "
"Cegah Covid-19, Bappeda Sterilisasi Ruangan","Senin 23-03-2020,13:44 WIB","
                                                                                        
                                                                             
 
 Sebagaimana dilakukan Badan Perencanaan Pembangunan Daerah (Bappeda) Lampung Timur, Senin (23/3).
 Untuk mencegah penyebaran Covid-19, Bappeda mewajibkan pegawainya untuk cuci tangan pakai sabun sebelum masuk kantor. 
 Selain itu, seluruh ruangan juga dilakukam sterilisasi dengan menyemprotkan desinfektan.  Itu termasuk di aula yang akan digunakan untuk rapat tim anggaran pemerintah daerah (TAPD).  Khusus untuk ruang rapat, susunan bangku di atur dengan jarak yang tidak saling berdekatan.
 Kepala Bappeda Lamtim Puji Riyanto menjelaskan, langkah yang ditempuh tersebut sesuai dengan standar operasional prosudur (SOP) dalam ragka mencegah penyebaran Covid-19. \""Melalui upaya tersebut semoga, dapat mencengah penyebaran covid-19,\"" jelas Puji Riyanto. (wid/ang)
 Cek Berita dan Artikel yang lain di  
                                "
Selama Operasi Antik Polres Lamtim Amankan 23 Tersangka Narkoba,"Senin 23-03-2020,19:42 WIB","
                                                                                        
                                                                             
 radarlampung.co.id - Polres Lampung Timur mengungkap 19 kasus narkoba. Itu terdiri dari 9 kasus pengedar dan 10 kasus kepemilikan.
 Kapolres Lampung Timur AKBP Wawan Setiawan menjelaskan, pengungkapan kasus itu merupakan hasil operasi antik yang digelar selama 14 hari sejak 9 hingga 22 Maret 2020.
 Dilanjutkan, 19 kasus yang terungkap tersebut Polres Lamtim berhasil mengamankan 23 tersangka.  Berikut tersangka turut diamankan barang bukti berupa 9,89 gram sabu-sabu dan 7,1 gram ganja.
 Lebih lanjut dijelaskan, para tersangka itu berhasil diamankan dari 8 wilayah yang terpisah. Masing-masing, Kecamatan Jabung, Pekalongan, Melinting, Sekanpungudik, Batanghari, Margasekampung, Matarambaru dan Sukadana.  \""Dengan berakhirnya operasi antik, kami akan tetap melaksanakan operasi pemberantasan secara rutin,\"" imbuh Kapolres. (wid/ang)
 Cek Berita dan Artikel yang lain di  
                                "
Polres Lamtim Tidak Akan Keluarkan Izin Keramaian,"Senin 23-03-2020,19:46 WIB","
                                                                                        
                                                                             
 radarlampung.co.id - Polres Lampung Timur menghimbau masyarakat tidak menggelar acara yang mengumpulkan orang banyak. Kapolres Lampung Timur AKBP Wawan Setiawan menjelaskan, himbauan tersebut disampaikan dalam rangka mencegah penularan corona virus disease (Covid)-19.
 Itu juga sebagai tindak lanjut amanat Kapolri nomor Mak/2/III/2020 tentang kepatuhan terhadap kebijakan pemerintah dalam rangka pencegahan penyebaran Covid-19. Dilanjutkan, menindaklanjuti maklumat tersebut, Polres tidak akan menerbitkan ijin keramaian.  Antara, untuk kegiatan sosial kemasyarakat, konser musik, pekan raya, pameran, resepsi keluarga, unjuk rasa dan pawai.
 \""Himbauan agar tidakmelakukan kegiatan yang mengumpulkan banyak orang itu telah disampaikan kepada masyarakat melalui Babhin Kamtimas dan pamong desa,\"" jelas AKBP Wawan Setiawan, Minggu (23/3). 
 Ditambahkan, bila masih ada masyarakat yang masih nekat menggelar kegiatan yang mengumpulkan orang banyak. Maka Polres Lamtim akan mengambil langkab preventif dengan menghimbau agar menghentikan kegiatan tersebut. 
 \""Pencegahan penularan covid-19 bukan hanya tanggung jawab pemerintah melainkan harus ada kesadaran dari masyarakat untuk mentaati himbauan tersebut. Bila tidak diindahkan, maka Polri akan mengambil tindakam sesuai peraturan perundangan yang berlaku,\"" imbuh AKBP Wawan Setiawan. (wid/ang)
  
 Cek Berita dan Artikel yang lain di  
                                "
Polres-Kodim 0429 Lamtim Patroli Bersama Cegah Kerumunan Massa,"Selasa 24-03-2020,11:32 WIB","
                                                                                        
                                                                             
 radarlampung.co.id - Salah satu upaya mencegah penyebaran corona virus disease (covid)-19 Pemerintah menganjurkan masyarakat menghindari kerumunan masa.
 Menindaklanjuti anjuran tersebut, jajaran Polres Lampung Timur bersama Kodim 0429 menggelar patroli bersama, Senin (23/3) malam hingga Selasa (24/3) dini hari. Patroli bersama dilaksanakan secara serentak jajaran Polsek dan Koramil dengan mendatangi tempat-tempat keramaian. Kemudian, menghimbau warga yang sedang berkumpul untuk segera membubarkan diri.
 Kapolres Lamtim AKBP Wawan Setiawan menjelaskan, patroli bersama itu merupakan bentuk pencegahan penyebaran Covid-19 di wilayah Lamtim.  Kegiatan itu juga untuk menindaklanjuti Maklumat Kapolri nomor Mak/2/III/2020 tentang kepatuhan terhadap kebijakan pemerintah dalam rangka pencegahan penyebaran Covid-19. “Kami, dari jajaran Polri dan TNI  memiliki tanggung jawab dalam membantu pencegahan Covid-19. Kami menghimbau kerumunan masa untuk membubarkan diri,” jelas AKBP Wawan Setiawan.   
 Kesempatan yang sama Dandim 0429 Lamtim Letkol M.Darwis menjelaskan, jajaran TNI dan Polri akan terus bersinergi dalam upaya mencegah penyebaran covid-19. Menurutnya, salah satu upaya pencegahan covid-19 adalah dengan menjaga jarak dan menghindari kerumuman masa atau social distancing.   \""Kami menghimbau kepada warga agar mematuhi himbauan tersebut agar Lamtim aman dari penyebaran covid-19,\"" harap Letkol M.Darwis. (wid/ang)
 Cek Berita dan Artikel yang lain di  
                                "
Penyebab Terbakarnya Pasar Way Jepara Masih Dalam Penyelidikan,"Rabu 25-03-2020,11:25 WIB","
                                                                                        
                                                                             
 
 Peristiwa kebakaran Pasar Way Jepara yang terjadi Selasa (24/3)  puk 21.30 WIB mengakibatkan 86 los (2x2,5 meter), toko (4 x 4 meter) dan kantor unit Pasar berikut fasilitas umumnya ludes terbakar. Pasca peristiwa tersebut, sejumlah pedagang berusaha menyelamatkan sisa-sisa barang dagangan mereka dari puing-puing yang terbakar.
 Sebagaimana dilakukan Heri pedagang pasar sembako yang berusaha menyelematkan sisa barang dagangannya. \""Tadi malam api sudah terlanjur besar mas, kami tidak berani mengambil resiko menyelamatkan barang dagangan,\"" ujar Heri.
 Petugas Polres Lampung Timur dan Polsek Way Jepara juga masih berusaha melakukan penyelidikan atas kejadian itu. Di lokasi kejadian Kapolsej Way Jepara AKP Rizal Effendi menjelaskan, penyebab kebakaran masih dalam tahap penyelidikan. 
 Di tempat yang sama Kepala Dinas Perindustrian dan Perdagangan Lamtim Rosdi menyatakan belum dapat memastikan total kerugian akibat peristiwa kebakaran itu. \""Total kerugian masih kami rekapitulasi,\"" jelas Rosdi.
 Lebih lanjut Rosdi menyatakan, terkait nasib para pedagang yang menjadi korban kebakaran masih akan dibahas bersama Pemkab Lamtim. Begitu juga terkait penampungan sementara, Rosdi menyatakan masih akan dibahas. 
 Kesempatan yang sama Kepala Unit Pasar Way Jepara Hermansyah menyesalkan tidak berfungsinya hidran yang berlokasi dekat area yang terbakar. Menurutnya, di Pasar Way Jepara terdapat sejumlah hidran. Namun, bak penampungan airnya kosong sehingg tidak dapat digunakan saat terjadi kebakaran. 
 Diketahui, peristiwa kebakaran itu diduga berawal dari los yang berlokasi di bagian depan sisi Utara Pasar Way Jepara. Api kemudian menjalar ke losa yang berada di sisi kanan, kiri dan belakangnya.
 Atas peristiwa itu, Kapolres Lamtim AKBP Wawan Setiawan bersama 80 personil berusaha membantu memadamkan api bersama warga dan petugas Badan Penanggulangan Bencana Daerah Lamtim. Api baru dapat dipadamkan pukul 01.20 Wib. (wid/ang)
 Cek Berita dan Artikel yang lain di  
                                "
Polres Lamtim Akan Minta Bantuan Tim Labfor Mabes Polri Selidiki Penyebab Kebakaran Pasar Way Jepara,"Rabu 25-03-2020,17:25 WIB","
                                                                                        
                                                                             
 radarlampung.co.id - Polres Lampung Timur masih melakukan olah tempat kejadian peristiwa atas terbakarnya Pasar Way Jepara. Itu disampaikan Kapolres Lampung Timur AKBP Wawan Setiawan saat meninjau Pasar Way Jepara yang terbakar, Rabu (25/3).
 Menurutnya, dugaan sementara terbakarnya Pasar Way Jepara akibat hubungan arus pendek (korsleting) listrik. \""Untuk memastikan penyebabnya akan dilakukan oleh tempat kejadian peristiwa oleh tim laboratorium forensik Mabes Polri,\""jelas AKBP Wawan Setiawan didampingi Kasat Reskrim AKP Faria Arista dan Kapolsen Way Jepara AKP Rizal Effendi.
 Ditambahkan, guna menyelidi penyebab kebakaran tersebut jajarannya juga akan meminta keterangan sejumlah saksi. Diketahui, terbakarnya Pasar Way Jepara, Selasa (24/3) itu merupakan kali ke dua terjadi. Sebelunya, pasar yang dibangun pada 1987 tersebut juga pernah terbakar pada tahun 2015 lalu.
 Sementara peristiwa terbakarnya Pasar Way Jepara Selasa (23/3) mengakibatkan 86 los (2x2,5 meter), toko (4 x 4 meter) dan kantor unit Pasar berikut fasilitas umumnya ludes terbakar. (wid/ang)
 Cek Berita dan Artikel yang lain di  
                                "
Kodim 0429/LT Bersama Forkopimda Lamtim Gelar Penyemprotan Desinfektan Fasum,"Kamis 26-03-2020,13:30 WIB","
                                                                                        
                                                                             
 radarlampung.co.id-Upaya pencegahan corona virus disease (covid)-19 terus dilaksakan jajaran Forum Komunikasi Pimpinan Daerah (Forkopimda) Kabupaten Lampung Timur.
 Sebagaimana dilakukan personil gabungan dari Kodim 0429, Polres, Badan Penanggulan Bencana Daerah (BPBD), Polisi Pamong Praja dan Dinas Kesehatan Lampung Timur melalui penyemprotan desinfektan di Masjid Babut Taubat dan Pasar Sukadana, Kamis (26/3).
 Penyemprotan desinfektan di sejumlah fasilitas umum (Fasum) juga dilakukan jajaran Danramil dan Polsek, serta pamong desa di wilayah Lampung Timur.
  “Mudah-mudahan melalui penyemprotan desinfektan tersebut dapat mencegah penyebaran covid-19,”ujar Dandim 0429 Lamtim Letkol M.Darwis didampingi Kabag Sumda Polres Lamtim Kompol Salman, Kapolsek Sukadana Kompol Arsis, Kepala Dinas Kesehatan dr.Nanang Salman Saleh, Kabid Kedarutan dan logistik BPBD Mujianto serta Danramil Sukadana Kapten Jumingan.
 Lebih lanjut Letkol M.Darwis berharap, dengan adanya kerjasama pihak terkait dalam mencegah penyebaran viru tersebut, wilayah Lamitm segera terbebas dari covid-19.
 Kesempatan yang sama Kepala Dinas Kesehatan Lamtim dr.Nanang Salman Saleh menyatakan, penyemprotan desinfektan dihaapkan dapat membunuh kuman-kuman penyakit sehingga tidak memberi peluang virus corna tumbuh dan berkembang. (wid/ang)
 Cek Berita dan Artikel yang lain di  
                                "
